VARIABLES = "x (m)" "y (m)" phi
ZONE I=51 J=21 
0.00000 0.00000 4.33289
0.0100000 0.00000 4.04053
0.0200000 0.00000 3.85331
0.0300000 0.00000 3.67110
0.0400000 0.00000 3.49368
0.0500000 0.00000 3.32071
0.0600000 0.00000 3.15177
0.0700000 0.00000 2.98632
0.0800000 0.00000 2.82365
0.0900000 0.00000 2.66291
0.100000 0.00000 2.50296
0.110000 0.00000 2.34235
0.120000 0.00000 2.17916
0.130000 0.00000 2.01073
0.140000 0.00000 1.83323
0.150000 0.00000 1.64089
0.160000 0.00000 1.42458
0.170000 0.00000 0.500000
0.180000 0.00000 0.500000
0.190000 0.00000 0.500000
0.200000 0.00000 0.500000
0.210000 0.00000 0.500000
0.220000 0.00000 0.500000
0.230000 0.00000 0.500000
0.240000 0.00000 0.500000
0.250000 0.00000 0.500000
0.260000 0.00000 0.500000
0.270000 0.00000 0.500000
0.280000 0.00000 0.500000
0.290000 0.00000 0.500000
0.300000 0.00000 0.500000
0.310000 0.00000 0.500000
0.320000 0.00000 0.500000
0.330000 0.00000 0.500000
0.340000 0.00000 0.735734
0.350000 0.00000 0.763596
0.360000 0.00000 0.781026
0.370000 0.00000 0.791389
0.380000 0.00000 0.796875
0.390000 0.00000 0.798977
0.400000 0.00000 0.798758
0.410000 0.00000 0.797005
0.420000 0.00000 0.794315
0.430000 0.00000 0.791149
0.440000 0.00000 0.787869
0.450000 0.00000 0.784757
0.460000 0.00000 0.782030
0.470000 0.00000 0.779855
0.480000 0.00000 0.778346
0.490000 0.00000 0.777575
0.500000 0.00000 0.777575
0.00000 0.0200000 4.24053
0.0100000 0.0200000 4.04815
0.0200000 0.0200000 3.86090
0.0300000 0.0200000 3.67862
0.0400000 0.0200000 3.50110
0.0500000 0.0200000 3.32801
0.0600000 0.0200000 3.15891
0.0700000 0.0200000 2.99328
0.0800000 0.0200000 2.83040
0.0900000 0.0200000 2.66940
0.100000 0.0200000 2.50917
0.110000 0.0200000 2.34824
0.120000 0.0200000 2.18468
0.130000 0.0200000 2.01582
0.140000 0.0200000 1.83782
0.150000 0.0200000 1.64491
0.160000 0.0200000 1.42791
0.170000 0.0200000 1.17144
0.180000 0.0200000 1.01627
0.190000 0.0200000 0.916917
0.200000 0.0200000 0.849773
0.210000 0.0200000 0.802113
0.220000 0.0200000 0.766825
0.230000 0.0200000 0.739779
0.240000 0.0200000 0.718497
0.250000 0.0200000 0.701455
0.260000 0.0200000 0.687720
0.270000 0.0200000 0.676763
0.280000 0.0200000 0.668379
0.290000 0.0200000 0.662700
0.300000 0.0200000 0.660305
0.310000 0.0200000 0.662491
0.320000 0.0200000 0.671862
0.330000 0.0200000 0.693551
0.340000 0.0200000 0.737796
0.350000 0.0200000 0.766027
0.360000 0.0200000 0.783745
0.370000 0.0200000 0.794342
0.380000 0.0200000 0.800019
0.390000 0.0200000 0.802278
0.400000 0.0200000 0.802191
0.410000 0.0200000 0.800549
0.420000 0.0200000 0.797951
0.430000 0.0200000 0.794861
0.440000 0.0200000 0.791644
0.450000 0.0200000 0.788582
0.460000 0.0200000 0.785895
0.470000 0.0200000 0.783748
0.480000 0.0200000 0.782257
0.490000 0.0200000 0.781497
0.500000 0.0200000 0.781497
0.00000 0.0400000 4.26564
0.0100000 0.0400000 4.07331
0.0200000 0.0400000 3.88627
0.0300000 0.0400000 3.70439
0.0400000 0.0400000 3.52747
0.0500000 0.0400000 3.35522
0.0600000 0.0400000 3.18729
0.0700000 0.0400000 3.02320
0.0800000 0.0400000 2.86242
0.0900000 0.0400000 2.70428
0.100000 0.0400000 2.54800
0.110000 0.0400000 2.39271
0.120000 0.0400000 2.23741
0.130000 0.0400000 2.08113
0.140000 0.0400000 1.92306
0.150000 0.0400000 1.76306
0.160000 0.0400000 1.60292
0.170000 0.0400000 1.44903
0.180000 0.0400000 1.31883
0.190000 0.0400000 1.21345
0.200000 0.0400000 1.12920
0.210000 0.0400000 1.06171
0.220000 0.0400000 1.00719
0.230000 0.0400000 0.962670
0.240000 0.0400000 0.925954
0.250000 0.0400000 0.895440
0.260000 0.0400000 0.870007
0.270000 0.0400000 0.848910
0.280000 0.0400000 0.831721
0.290000 0.0400000 0.818292
0.300000 0.0400000 0.808741
0.310000 0.0400000 0.803435
0.320000 0.0400000 0.802888
0.330000 0.0400000 0.807428
0.340000 0.0400000 0.816165
0.350000 0.0400000 0.824129
0.360000 0.0400000 0.829706
0.370000 0.0400000 0.832666
0.380000 0.0400000 0.833308
0.390000 0.0400000 0.832104
0.400000 0.0400000 0.829542
0.410000 0.0400000 0.826075
0.420000 0.0400000 0.822100
0.430000 0.0400000 0.817955
0.440000 0.0400000 0.813924
0.450000 0.0400000 0.810237
0.460000 0.0400000 0.807081
0.470000 0.0400000 0.804597
0.480000 0.0400000 0.802890
0.490000 0.0400000 0.802022
0.500000 0.0400000 0.802022
0.00000 0.0600000 4.30782
0.0100000 0.0600000 4.11558
0.0200000 0.0600000 3.92897
0.0300000 0.0600000 3.74786
0.0400000 0.0600000 3.57210
0.0500000 0.0600000 3.40146
0.0600000 0.0600000 3.23566
0.0700000 0.0600000 3.07436
0.0800000 0.0600000 2.91717
0.0900000 0.0600000 2.76368
0.100000 0.0600000 2.61347
0.110000 0.0600000 2.46610
0.120000 0.0600000 2.32128
0.130000 0.0600000 2.17885
0.140000 0.0600000 2.03905
0.150000 0.0600000 1.90271
0.160000 0.0600000 1.77158
0.170000 0.0600000 1.64856
0.180000 0.0600000 1.53729
0.190000 0.0600000 1.43929
0.200000 0.0600000 1.35439
0.210000 0.0600000 1.28141
0.220000 0.0600000 1.21885
0.230000 0.0600000 1.16518
0.240000 0.0600000 1.11904
0.250000 0.0600000 1.07927
0.260000 0.0600000 1.04495
0.270000 0.0600000 1.01539
0.280000 0.0600000 0.990062
0.290000 0.0600000 0.968620
0.300000 0.0600000 0.950839
0.310000 0.0600000 0.936553
0.320000 0.0600000 0.925568
0.330000 0.0600000 0.917501
0.340000 0.0600000 0.911596
0.350000 0.0600000 0.906667
0.360000 0.0600000 0.901858
0.370000 0.0600000 0.896716
0.380000 0.0600000 0.891090
0.390000 0.0600000 0.885021
0.400000 0.0600000 0.878654
0.410000 0.0600000 0.872185
0.420000 0.0600000 0.865827
0.430000 0.0600000 0.859784
0.440000 0.0600000 0.854245
0.450000 0.0600000 0.849378
0.460000 0.0600000 0.845321
0.470000 0.0600000 0.842185
0.480000 0.0600000 0.840052
0.490000 0.0600000 0.838974
0.500000 0.0600000 0.838974
0.00000 0.0800000 4.36625
0.0100000 0.0800000 4.17414
0.0200000 0.0800000 3.98810
0.0300000 0.0800000 3.80803
0.0400000 0.0800000 3.63380
0.0500000 0.0800000 3.46523
0.0600000 0.0800000 3.30211
0.0700000 0.0800000 3.14420
0.0800000 0.0800000 2.99125
0.0900000 0.0800000 2.84298
0.100000 0.0800000 2.69918
0.110000 0.0800000 2.55965
0.120000 0.0800000 2.42431
0.130000 0.0800000 2.29323
0.140000 0.0800000 2.16672
0.150000 0.0800000 2.04535
0.160000 0.0800000 1.93000
0.170000 0.0800000 1.82182
0.180000 0.0800000 1.72190
0.190000 0.0800000 1.63091
0.200000 0.0800000 1.54894
0.210000 0.0800000 1.47566
0.220000 0.0800000 1.41043
0.230000 0.0800000 1.35249
0.240000 0.0800000 1.30104
0.250000 0.0800000 1.25534
0.260000 0.0800000 1.21472
0.270000 0.0800000 1.17861
0.280000 0.0800000 1.14653
0.290000 0.0800000 1.11808
0.300000 0.0800000 1.09294
0.310000 0.0800000 1.07081
0.320000 0.0800000 1.05136
0.330000 0.0800000 1.03425
0.340000 0.0800000 1.01903
0.350000 0.0800000 1.00522
0.360000 0.0800000 0.992397
0.370000 0.0800000 0.980279
0.380000 0.0800000 0.968701
0.390000 0.0800000 0.957611
0.400000 0.0800000 0.947036
0.410000 0.0800000 0.937054
0.420000 0.0800000 0.927773
0.430000 0.0800000 0.919316
0.440000 0.0800000 0.911806
0.450000 0.0800000 0.905358
0.460000 0.0800000 0.900075
0.470000 0.0800000 0.896039
0.480000 0.0800000 0.893316
0.490000 0.0800000 0.891945
0.500000 0.0800000 0.891945
0.00000 0.100000 4.43986
0.0100000 0.100000 4.24792
0.0200000 0.100000 4.06254
0.0300000 0.100000 3.88366
0.0400000 0.100000 3.71115
0.0500000 0.100000 3.54488
0.0600000 0.100000 3.38468
0.0700000 0.100000 3.23036
0.0800000 0.100000 3.08173
0.0900000 0.100000 2.93859
0.100000 0.100000 2.80080
0.110000 0.100000 2.66821
0.120000 0.100000 2.54078
0.130000 0.100000 2.41854
0.140000 0.100000 2.30163
0.150000 0.100000 2.19029
0.160000 0.100000 2.08490
0.170000 0.100000 1.98584
0.180000 0.100000 1.89346
0.190000 0.100000 1.80796
0.200000 0.100000 1.72935
0.210000 0.100000 1.65743
0.220000 0.100000 1.59185
0.230000 0.100000 1.53217
0.240000 0.100000 1.47789
0.250000 0.100000 1.42851
0.260000 0.100000 1.38356
0.270000 0.100000 1.34258
0.280000 0.100000 1.30520
0.290000 0.100000 1.27104
0.300000 0.100000 1.23982
0.310000 0.100000 1.21123
0.320000 0.100000 1.18502
0.330000 0.100000 1.16090
0.340000 0.100000 1.13863
0.350000 0.100000 1.11794
0.360000 0.100000 1.09863
0.370000 0.100000 1.08052
0.380000 0.100000 1.06354
0.390000 0.100000 1.04763
0.400000 0.100000 1.03281
0.410000 0.100000 1.01913
0.420000 0.100000 1.00666
0.430000 0.100000 0.995484
0.440000 0.100000 0.985698
0.450000 0.100000 0.977389
0.460000 0.100000 0.970639
